Unit,bronze_preban_count,bronze_preban_pct,silver_preban_count,silver_preban_pct,gold_preban_count,gold_preban_pct,master_preban_count,master_preban_pct,challenger_preban_count,challenger_preban_pct,champion_preban_count,champion_preban_pct,legend_preban_count,legend_preban_pct,total
Kayron,151,0.011777552453006785,249,0.012702785430058157,240,0.007808179067573283,99,0.005038167938931298,47,0.00332038149063935,14,0.0006981499027576921,2,0.0022271714922048997,802
Challenger Dominiel,53,0.004133842913969269,90,0.004591368227731864,148,0.0048150437583368575,116,0.005903307888040712,57,0.004026845637583893,89,0.004438238667531042,7,0.0077951002227171495,560
Politis,61,0.004757819202870291,96,0.004897459442913988,169,0.00549825942674952,106,0.00539440203562341,44,0.0031084422465559873,80,0.003989428015758241,0,0.0,556
Kluri,11,0.0008579673972389049,23,0.001173349658198143,49,0.0015941698929628787,43,0.002188295165394402,91,0.006428823737195337,285,0.014212337306138733,33,0.036748329621380846,535
Roana,81,0.0063177599251228456,126,0.006427915518824609,166,0.005400657188404854,39,0.001984732824427481,29,0.0020487460261391735,16,0.0007978856031516481,0,0.0,457
Dizzy,211,0.01645737461976445,115,0.005866748290990716,72,0.002342453720271985,13,0.0006615776081424936,15,0.0010596962204168139,6,0.00029920710118186807,0,0.0,432
Blood Moon Haste,9,0.0007019733250136495,14,0.0007142128354249566,72,0.002342453720271985,52,0.0026463104325699744,60,0.0042387848816672555,163,0.008128459582107415,20,0.022271714922048998,390
Celine,43,0.003353872552842992,65,0.003315988164473013,124,0.00403422585157953,49,0.0024936386768447836,17,0.0012009890498057224,14,0.0006981499027576921,0,0.0,312
Martial Artist Ken,107,0.008345682864051166,115,0.005866748290990716,33,0.0010736246217913263,31,0.0015776081424936387,1,7.064641469445426e-05,0,0.0,0,0.0,287
Landy,34,0.0026518992278293423,47,0.00239771451892664,78,0.002537658196961317,45,0.0022900763358778627,27,0.0019074531967502649,48,0.0023936568094549446,1,0.0011135857461024498,280
c5004,29,0.002261914047266204,52,0.0026527905315784106,92,0.002993135309236425,46,0.002340966921119593,22,0.0015542211232779937,32,0.0015957712063032962,0,0.0,273
Briar Witch Iseria,24,0.0018719288667030654,23,0.001173349658198143,43,0.0013989654162735465,28,0.001424936386768448,23,0.001624867537972448,122,0.006083877724031317,0,0.0,263
Krau,36,0.002807893300054598,63,0.0032139577594123047,83,0.002700328594202427,27,0.0013740458015267176,26,0.0018368067820558106,20,0.0009973570039395602,0,0.0,255
Ravi,8,0.0006239762889010217,14,0.0007142128354249566,44,0.0014314994957217685,27,0.0013740458015267176,35,0.002472624514305899,22,0.0010970927043335162,0,0.0,150
Operator Sigret,23,0.0017939318305904375,30,0.0015304560759106215,33,0.0010736246217913263,23,0.0011704834605597964,16,0.0011303426351112682,8,0.00039894280157582406,3,0.0033407572383073497,136
Apocalypse Ravi,40,0.0031198814445051086,48,0.002448729721456994,19,0.0006181475095162183,16,0.0008142493638676844,5,0.00035323207347227127,0,0.0,0,0.0,128
Lilias,28,0.002183917011153576,34,0.0017345168860320376,28,0.0009109542245502164,21,0.001068702290076336,10,0.0007064641469445425,5,0.00024933925098489005,1,0.0011135857461024498,127
Little Queen Charlotte,29,0.002261914047266204,22,0.001122334455667789,27,0.0008784201451019943,1,5.089058524173028e-05,4,0.00028258565877781704,26,0.0012965641051214283,0,0.0,109
Charles,44,0.0034318695889556197,51,0.0026017753290480563,6,0.0001952044766893321,1,5.089058524173028e-05,0,0.0,1,4.986785019697801e-05,0,0.0,103
Assassin Cidd,3,0.00023399110833788317,6,0.00030609121518212427,12,0.0003904089533786642,4,0.0002035623409669211,21,0.0014835747085835394,48,0.0023936568094549446,3,0.0033407572383073497,97
Elena,30,0.0023399110833788317,9,0.0004591368227731864,21,0.0006832156684126623,10,0.0005089058524173028,4,0.00028258565877781704,1,4.986785019697801e-05,0,0.0,75
General Purrgis,16,0.0012479525778020435,24,0.001224364860728497,18,0.0005856134300679962,2,0.00010178117048346055,2,0.00014129282938890852,10,0.0004986785019697801,0,0.0,72
Alencia,17,0.0013259496139146711,20,0.001020304050607081,31,0.0010085564628948824,2,0.00010178117048346055,1,7.064641469445426e-05,0,0.0,0,0.0,71
Silver Blade Aramintha,21,0.0016379377583651822,18,0.0009182736455463728,17,0.0005530793506197743,6,0.0003053435114503817,1,7.064641469445426e-05,0,0.0,0,0.0,63
Adventurer Ras,5,0.0003899851805631386,2,0.00010203040506070809,14,0.0004554771122751082,7,0.000356234096692112,2,0.00014129282938890852,23,0.0011469605545304943,0,0.0,53
Dark Corvus,23,0.0017939318305904375,14,0.0007142128354249566,10,0.0003253407944822201,4,0.0002035623409669211,1,7.064641469445426e-05,0,0.0,0,0.0,52
Maid Chloe,12,0.0009359644333515327,14,0.0007142128354249566,16,0.0005205452711715522,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,43
Judge Kise,22,0.0017159347944778098,11,0.0005611672278338945,7,0.0002277385561375541,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,41
Vildred,29,0.002261914047266204,4,0.00020406081012141618,0,0.0,0,0.0,0,0.0,3,0.00014960355059093404,0,0.0,36
Specimen Sez,8,0.0006239762889010217,7,0.0003571064177124783,12,0.0003904089533786642,2,0.00010178117048346055,4,0.00028258565877781704,2,9.973570039395601e-05,0,0.0,35
Benevolent Romann,12,0.0009359644333515327,4,0.00020406081012141618,3,9.760223834466604e-05,8,0.0004071246819338422,6,0.00042387848816672556,1,4.986785019697801e-05,0,0.0,34
Vivian,16,0.0012479525778020435,11,0.0005611672278338945,2,6.506815889644402e-05,0,0.0,1,7.064641469445426e-05,1,4.986785019697801e-05,0,0.0,31
Aither,0,0.0,11,0.0005611672278338945,12,0.0003904089533786642,2,0.00010178117048346055,1,7.064641469445426e-05,1,4.986785019697801e-05,0,0.0,27
Sinful Angelica,13,0.0010139614694641603,7,0.0003571064177124783,3,9.760223834466604e-05,1,5.089058524173028e-05,1,7.064641469445426e-05,2,9.973570039395601e-05,0,0.0,27
Tenebria,10,0.0007799703611262772,4,0.00020406081012141618,3,9.760223834466604e-05,1,5.089058524173028e-05,0,0.0,7,0.00034907495137884604,0,0.0,25
c1107,2,0.00015599407222525544,5,0.0002550760126517702,11,0.0003578748739304421,3,0.00015267175572519084,0,0.0,0,0.0,0,0.0,21
Cecilia,5,0.0003899851805631386,8,0.00040812162024283236,2,6.506815889644402e-05,1,5.089058524173028e-05,1,7.064641469445426e-05,3,0.00014960355059093404,0,0.0,20
Mui,3,0.00023399110833788317,11,0.0005611672278338945,3,9.760223834466604e-05,0,0.0,1,7.064641469445426e-05,1,4.986785019697801e-05,0,0.0,19
Blood Blade Karin,13,0.0010139614694641603,2,0.00010203040506070809,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,16
Kikirat v2,2,0.00015599407222525544,1,5.1015202530354045e-05,0,0.0,1,5.089058524173028e-05,10,0.0007064641469445425,2,9.973570039395601e-05,0,0.0,16
Desert Jewel Basar,5,0.0003899851805631386,4,0.00020406081012141618,3,9.760223834466604e-05,1,5.089058524173028e-05,1,7.064641469445426e-05,0,0.0,0,0.0,14
Ras,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,2,0.00014129282938890852,10,0.0004986785019697801,0,0.0,13
Diene,7,0.000545979252788394,4,0.00020406081012141618,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,12
Cermia,7,0.000545979252788394,4,0.00020406081012141618,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11
Kise,2,0.00015599407222525544,2,0.00010203040506070809,1,3.253407944822201e-05,3,0.00015267175572519084,2,0.00014129282938890852,0,0.0,0,0.0,10
c4071,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.0004986785019697801,0,0.0,10
Lidica,8,0.0006239762889010217,0,0.0,2,6.506815889644402e-05,0,0.0,0,0.0,0,0.0,0,0.0,10
Hurado,0,0.0,0,0.0,3,9.760223834466604e-05,0,0.0,5,0.00035323207347227127,1,4.986785019697801e-05,0,0.0,9
Magic Scholar Doris,0,0.0,1,5.1015202530354045e-05,4,0.00013013631779288805,2,0.00010178117048346055,2,0.00014129282938890852,0,0.0,0,0.0,9
Mercedes,1,7.799703611262772e-05,0,0.0,0,0.0,4,0.0002035623409669211,3,0.00021193924408336278,0,0.0,0,0.0,8
Kawerik,3,0.00023399110833788317,0,0.0,0,0.0,1,5.089058524173028e-05,0,0.0,4,0.00019947140078791203,0,0.0,8
Adlay,0,0.0,0,0.0,0,0.0,8,0.0004071246819338422,0,0.0,0,0.0,0,0.0,8
Khawazu,1,7.799703611262772e-05,0,0.0,0,0.0,5,0.0002544529262086514,1,7.064641469445426e-05,0,0.0,0,0.0,7
Assassin Coli,1,7.799703611262772e-05,1,5.1015202530354045e-05,3,9.760223834466604e-05,0,0.0,1,7.064641469445426e-05,1,4.986785019697801e-05,0,0.0,7
Yufine,6,0.00046798221667576634,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
Flan,1,7.799703611262772e-05,2,0.00010203040506070809,3,9.760223834466604e-05,0,0.0,0,0.0,0,0.0,0,0.0,6
Charlotte,2,0.00015599407222525544,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,3,0.00014960355059093404,0,0.0,6
c4065,1,7.799703611262772e-05,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,4,0.00019947140078791203,0,0.0,6
